question,category,expected_status,expected_clause_number,should_abstain,actual_status,actual_clause_number,confidence_label,validation_passed,status_correct,citation_correct,key_facts_ok,retrieval_correct,evidence_selection_correct,classification,failure_stage,retrieval_time_seconds,llm_time_seconds,total_time_seconds,retrieved_chunk_count,prompt_tokens,completion_tokens,answer_char_count,answer_text,reliability_note,notes
Is dental treatment covered?,Coverage,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,5.216431140899658,3.078873872756958,3.0923547744750977,3,281,31,96,The evidence provided does not explicitly state whether dental treatment is covered or excluded.,Validated.,Plain framing is genuinely ambiguous without the accident-context qualifier
Is dental treatment fully covered with no conditions?,Exception,Insufficient Evidence,2.3|4.2(c),True,Insufficient Evidence,,Insufficient Evidence,True,True,False,True,True,True,Appropriate Abstention,,0.019654512405395508,3.4670183658599854,3.4845128059387207,3,285,55,233,"The insurance policy excludes routine dental check-ups and cleaning, as well as treatment not necessitated by an accidental bodily injury requiring hospitalisation. Therefore, dental treatment is not fully covered with no conditions.",Validated.,Coverage clause AND its exclusion both apply -- conflict case
What does the policy cover for day care procedures?,Coverage,Covered,2.2,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.018728971481323242,4.429621696472168,4.448459625244141,3,312,45,148,"Day Care Treatment: Medical treatment and/or surgical procedures listed in Annexure A, requiring less than 24 hours of hospitalisation, are covered.",Validated.,
Will hospital expenses be reimbursed?,Coverage,Covered,2.1,False,Covered,2.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.012048006057739258,3.557431936264038,3.5752830505371094,3,294,35,105,"Yes, hospitalisation expenses incurred by the Insured Person during the Policy Period will be reimbursed.","Note: related exclusion language was also found in Clause 4.3, 4.1 among the retrieved evidence -- review it before relying on this answer.",
Are surgeries requiring less than 24 hours in hospital covered?,Coverage,Covered,2.2,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.00977468490600586,3.5298757553100586,3.540379524230957,3,314,36,104,"Yes, surgeries requiring less than 24 hours in hospital are covered under the Day Care Treatment clause.",Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,"Paraphrase, no keyword overlap with day care"
Does the policy pay for hospitalisation costs?,Coverage,Covered,2.1,False,Covered,2.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.010743141174316406,3.2109673023223877,3.2255613803863525,3,307,35,124,"Yes, the policy covers medically necessary hospitalisation expenses incurred by the insured person during the policy period.",Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,
Is cosmetic surgery excluded?,Exclusion,Explicitly Excluded,4.1,False,Insufficient Evidence,4.1,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.01853203773498535,2.3246071338653564,2.3400609493255615,3,258,30,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.1) is from an exclusions section, which is not positive evidence of coverage.",
Are routine dental check-ups covered?,Exclusion,Explicitly Excluded,4.2(a),False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.013113737106323242,2.8257994651794434,2.8401689529418945,3,283,30,84,The evidence provided does not specify whether routine dental check-ups are covered.,Validated.,"Coverage-phrased question, correct answer is an exclusion"
Does the policy cover spectacles or contact lenses?,Exclusion,Explicitly Excluded,4.2(b),False,Explicitly Excluded,4.2(b),Verified Evidence,True,True,True,True,True,True,Correct,,0.012839317321777344,2.4083187580108643,2.423994779586792,3,254,30,66,"Yes, the policy explicitly excludes spectacles and contact lenses.",Validated.,
Can I get reimbursed for hearing aids?,Exclusion,Explicitly Excluded,4.2(b),False,Insufficient Evidence,4.2(b),Limited Evidence,True,False,True,True,True,True,Incorrect Abstention,Generation Failure,0.018570423126220703,2.3875763416290283,2.406538486480713,3,282,29,76,The evidence states that hearing aids are explicitly excluded from coverage.,Validated.,
