question,category,expected_status,expected_clause_number,should_abstain,actual_status,actual_clause_number,confidence_label,validation_passed,status_correct,citation_correct,key_facts_ok,retrieval_correct,evidence_selection_correct,classification,failure_stage,retrieval_time_seconds,llm_time_seconds,total_time_seconds,retrieved_chunk_count,prompt_tokens,completion_tokens,answer_char_count,answer_text,reliability_note,notes
Is dental treatment covered?,Coverage,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,7.079136610031128,37.2231605052948,37.239996910095215,3,281,48,162,"The evidence is incomplete and does not provide a clear answer on whether dental treatment, including fillings, extractions, and dentures, is covered or excluded.",Validated.,Plain framing is genuinely ambiguous without the accident-context qualifier
Is dental treatment fully covered with no conditions?,Exception,Insufficient Evidence,2.3|4.2(c),True,Insufficient Evidence,,Insufficient Evidence,True,True,False,True,True,True,Appropriate Abstention,,0.038426876068115234,5.844078063964844,5.8565099239349365,3,285,44,163,The evidence does not provide a clear answer on whether dental treatment is fully covered with no conditions. It only specifies certain exclusions and limitations.,Validated.,Coverage clause AND its exclusion both apply -- conflict case
What does the policy cover for day care procedures?,Coverage,Covered,2.2,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.02756500244140625,14.947375297546387,14.966608762741089,3,312,41,121,The policy covers day care procedures if they require less than 24 hours of hospitalization and are listed in Annexure A.,Validated.,
Will hospital expenses be reimbursed?,Coverage,Covered,2.1,False,Covered,2.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.022112369537353516,6.08542275428772,6.101301670074463,3,294,36,112,"Yes, hospital expenses will be reimbursed as they are covered under the policy for medically necessary expenses.","Note: related exclusion language was also found in Clause 4.3, 4.1 among the retrieved evidence -- review it before relying on this answer.",
Are surgeries requiring less than 24 hours in hospital covered?,Coverage,Covered,2.2,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.019655227661132812,7.054498910903931,7.071294784545898,3,314,36,103,"Yes, surgeries requiring less than 24 hours in hospital are covered according to the evidence provided.",Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,"Paraphrase, no keyword overlap with day care"
Does the policy pay for hospitalisation costs?,Coverage,Covered,2.1,False,Covered,2.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.016124963760375977,6.654467344284058,6.66743016242981,3,307,38,126,"Yes, the policy covers hospitalisation expenses as long as they are medically necessary and incurred during the Policy Period.",Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,
Is cosmetic surgery excluded?,Exclusion,Explicitly Excluded,4.1,False,Insufficient Evidence,4.1,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.021918773651123047,4.727610349655151,4.745099782943726,3,258,32,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.1) is from an exclusions section, which is not positive evidence of coverage.",
Are routine dental check-ups covered?,Exclusion,Explicitly Excluded,4.2(a),False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.04562854766845703,6.493577718734741,6.509514570236206,3,283,41,160,"The evidence does not provide clear information about routine dental check-ups specifically, only mentioning that such treatments are excluded in some contexts.",Validated.,"Coverage-phrased question, correct answer is an exclusion"
Does the policy cover spectacles or contact lenses?,Exclusion,Explicitly Excluded,4.2(b),False,Explicitly Excluded,4.2(b),Verified Evidence,True,True,True,True,True,True,Correct,,0.015366554260253906,4.944751501083374,4.960150957107544,3,254,34,87,The policy explicitly excludes spectacles and contact lenses as per the given evidence.,Validated.,
Can I get reimbursed for hearing aids?,Exclusion,Explicitly Excluded,4.2(b),False,Explicitly Excluded,4.2(b),Verified Evidence,True,True,True,True,True,True,Correct,,0.020132780075073242,5.7080018520355225,5.724324941635132,3,282,38,106,"No, you cannot get reimbursed for hearing aids as they are explicitly excluded under the insurance policy.",Validated.,
What dental treatments are not covered?,Exclusion,Explicitly Excluded,4.2(c)|4.2(a)|2.3,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,True,True,True,Validation Failure,Generation Failure,0.02063608169555664,6.314441442489624,6.388780832290649,3,283,40,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",Model gave status 'Covered' without citing any evidence_id.,"Clause 2.3 also states this exclusion directly (the policy repeats it in two places) -- citing it is genuinely correct, not a citation error"
Is there a waiting period for pre-existing conditions?,Waiting Period,Covered,3.1,False,Covered,3.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.01797032356262207,6.935678958892822,6.955266237258911,3,309,38,103,"Yes, there is a waiting period of 48 months for pre-existing conditions to be covered under the policy.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
How long do I have to wait before pre-existing disease treatment is covered?,Waiting Period,Covered,3.1,False,Covered,3.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.02715897560119629,9.397840023040771,9.418914556503296,3,324,52,183,"The waiting period for pre-existing diseases is 48 months from the first policy inception date, covering any condition diagnosed within 48 months prior to the policy's effective date.",Validated.,Paraphrase
What is the initial waiting period for illnesses?,Waiting Period,Covered,3.2,False,Covered,3.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.021023988723754883,7.35530424118042,7.371068000793457,3,302,39,121,"The initial waiting period for illnesses is 30 days from the policy start date, except for claims arising from accidents.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
Is there a waiting period before any claims can be made?,Waiting Period,Covered,3.2,False,Insufficient Evidence,4.3,Limited Evidence,True,False,False,False,True,True,Incorrect Abstention,Generation Failure,0.01705002784729004,7.941479921340942,7.957581996917725,3,319,43,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.","Paraphrase, no keyword overlap"
What is the waiting period for cataract surgery?,Waiting Period,Covered,3.3,False,Covered,3.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.0169217586517334,5.772049903869629,5.789743900299072,3,305,29,53,The waiting period for cataract surgery is 24 months.,Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
Is there a waiting period for hernia treatment?,Waiting Period,Covered,3.3,False,Covered,3.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.017234325408935547,6.2214195728302,6.241584539413452,3,304,43,138,"The evidence indicates a 24-month waiting period applies specifically to hernia treatment, so there is indeed a waiting period for hernia.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,Paraphrase
Are joint replacement surgeries covered immediately after buying the policy?,Waiting Period,Insufficient Evidence,3.3,True,Insufficient Evidence,,Insufficient Evidence,True,True,False,True,True,True,Appropriate Abstention,,0.05532264709472656,7.562378883361816,7.581545114517212,3,312,42,128,"The policy has a 24-month waiting period for joint replacement surgery, so it's not covered immediately after buying the policy.",Validated.,"Correct answer must explain the waiting period, not a flat yes/no"
What happens if I make a claim during the first year?,Exception,Explicitly Excluded,4.3,False,Insufficient Evidence,4.3,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.023293733596801758,6.228322267532349,6.249686002731323,3,316,39,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",
Are claims payable if I get sick within 90 days of buying the policy?,Exception,Explicitly Excluded,4.3,False,Explicitly Excluded,4.3,Verified Evidence,True,True,True,True,True,True,Correct,,0.050849199295043945,5.8556952476501465,5.8789167404174805,3,324,39,116,"No, claims for illnesses first diagnosed within 90 days of policy commencement are explicitly excluded from payment.",Validated.,Paraphrase
"If I have an accident in the first month, is the claim payable?",Exception,Covered,4.3,False,Insufficient Evidence,4.3,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.017230510711669922,5.163741588592529,5.181412935256958,3,304,39,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",Accident exception carves coverage out of the first-year exclusion
Who is considered an insured person under this policy?,Eligibility,Covered,1.1,False,Covered,1.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.0350499153137207,6.1666789054870605,6.181353807449341,3,298,33,99,The insured person is the one named in the policy schedule and covered under this insurance policy.,Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,
What does waiting period mean in this policy?,Eligibility,Covered,1.3,False,Insufficient Evidence,1.3,Insufficient Evidence,False,False,True,True,True,True,Validation Failure,Generation Failure,0.023717164993286133,6.606266736984253,6.621510028839111,3,302,37,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.",Downgraded: the answer contains number(s) not found in the cited evidence (1) -- possible unsupported claim.,Definitional lookup
How is a pre-existing disease defined?,Eligibility,Covered,1.2,False,Covered,1.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.029619455337524414,7.975595474243164,8.00042200088501,3,307,49,163,"A pre-existing disease is defined as any condition, ailment, injury or disease diagnosed by a physician within 48 months prior to the effective date of the policy.",Note: related exclusion language was also found in Clause 1.3 among the retrieved evidence -- review it before relying on this answer.,
What exclusions apply to this policy?,Ambiguous,Explicitly Excluded,4.1|4.2(a)|4.2(b)|4.2(c)|4.3,False,Explicitly Excluded,4.2(a),Verified Evidence,True,True,True,True,True,True,Correct,,0.014888763427734375,4.935876131057739,4.952949285507202,3,263,29,69,The policy explicitly excludes routine dental check-ups and cleaning.,Validated.,"Broad question, any Section 4 clause acceptable"
What medical treatments are covered under this policy?,Ambiguous,Covered,2.1|2.2|2.3,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.022940635681152344,6.986454725265503,7.002527713775635,3,297,41,120,"Medical treatments listed in Annexure A, requiring less than 24 hours of hospitalization, are covered under this policy.","Note: related exclusion language was also found in Clause 4.3, 4.2(c) among the retrieved evidence -- review it before relying on this answer.","Broad question, multiple valid answers"
Does this policy cover space travel?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.01999068260192871,7.782320022583008,7.9764084815979,3,293,48,186,"The policy does not mention space travel, nor does it explicitly exclude or cover such expenses. There is no information provided about coverage for unusual activities like space travel.",Validated.,
Is maternity care covered under this policy?,Unsupported,Not Mentioned,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.07306599617004395,6.850940704345703,6.885420560836792,3,310,37,125,"The evidence does not mention maternity care or any specific medical treatments, only hospitalisation and day care treatment.",Validated.,
Does the policy include international travel insurance?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.06191205978393555,5.827641010284424,5.843987464904785,3,296,30,83,The evidence does not mention international travel or any specific coverage for it.,Validated.,
Is pet insurance included?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.022764205932617188,5.6876747608184814,5.707469701766968,3,292,30,78,The evidence does not mention pet insurance or any specific coverage for pets.,Validated.,
What is the claim settlement ratio of this insurer?,Unsupported,No Evidence Found,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.03159451484680176,5.153381109237671,5.173626899719238,3,297,33,104,The provided evidence does not contain any information about the claim settlement ratio of this insurer.,Validated.,Real-world insurer info the document itself would not contain
Does this policy cover COVID-19 treatment?,Unsupported,Not Mentioned,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,False,True,True,True,True,Appropriate Abstention,,0.05221390724182129,8.008483409881592,8.023991823196411,3,314,43,145,"The evidence does not provide information about coverage for COVID-19 or any specific pre-existing conditions, waiting periods, or claims limits.",Validated.,
Is there a maternity benefit waiting period?,Unsupported,No Evidence Found,NONE,True,Not Mentioned,,Insufficient Evidence,True,False,True,True,True,True,Wrong-but-Confident,Guardrail Failure,0.02504587173461914,5.913737535476685,5.944427013397217,3,301,31,83,There is no mention of a maternity benefit waiting period in the provided evidence.,Validated.,
What is the maximum amount payable for hospitalisation expenses?,Ambiguous,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,0.02131199836730957,6.839430332183838,6.859207391738892,3,309,35,104,"The evidence does not specify a maximum amount for hospitalisation expenses, only that they are covered.",Validated.,Policy never states a monetary limit
What is covered under this policy for accidents?,Ambiguous,Insufficient Evidence,2.3|4.1|4.3,True,Insufficient Evidence,4.3,Limited Evidence,True,True,True,False,True,True,Appropriate Abstention,,0.01979684829711914,7.991099834442139,8.010130643844604,3,290,51,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.3) is from an exclusions section, which is not positive evidence of coverage.",Accident-exception clauses are scattered across sections
