question,category,expected_status,expected_clause_number,should_abstain,actual_status,actual_clause_number,confidence_label,validation_passed,status_correct,citation_correct,key_facts_ok,retrieval_correct,evidence_selection_correct,classification,failure_stage,retrieval_time_seconds,llm_time_seconds,total_time_seconds,retrieved_chunk_count,prompt_tokens,completion_tokens,answer_char_count,answer_text,reliability_note,notes
Is dental treatment covered?,Coverage,Insufficient Evidence,,True,Insufficient Evidence,,Insufficient Evidence,True,True,False,True,False,False,Appropriate Abstention,Retrieval Failure,5.0473339557647705,2.8198513984680176,2.8301749229431152,3,281,30,87,The evidence provided does not specify whether dental treatment is covered or excluded.,Validated.,Plain framing is genuinely ambiguous without the accident-context qualifier
Is dental treatment fully covered with no conditions?,Exception,Insufficient Evidence,2.3|4.2(c),True,Insufficient Evidence,,Insufficient Evidence,True,True,False,True,True,True,Appropriate Abstention,,0.021023273468017578,3.9742507934570312,3.990037202835083,3,285,59,272,"The insurance policy does not explicitly state that dental treatment is fully covered with no conditions. It mentions specific exclusions related to accidental bodily injury and routine dental check-ups and cleaning, indicating partial coverage or exclusionary provisions.",Validated.,Coverage clause AND its exclusion both apply -- conflict case
What does the policy cover for day care procedures?,Coverage,Covered,2.2,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.01685333251953125,4.821983098983765,4.839751958847046,3,312,45,148,"Day Care Treatment: Medical treatment and/or surgical procedures listed in Annexure A, requiring less than 24 hours of hospitalisation, are covered.",Validated.,
Will hospital expenses be reimbursed?,Coverage,Covered,2.1,False,Covered,2.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.018401145935058594,3.717494249343872,3.728473424911499,3,294,35,105,"Yes, hospitalisation expenses incurred by the Insured Person during the Policy Period will be reimbursed.","Note: related exclusion language was also found in Clause 4.3, 4.1 among the retrieved evidence -- review it before relying on this answer.",
Are surgeries requiring less than 24 hours in hospital covered?,Coverage,Covered,2.2,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.020682811737060547,4.118722677230835,4.1381049156188965,3,314,39,119,"Yes, surgeries requiring less than 24 hours in hospital are covered under the Day Care Treatment section of the policy.",Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,"Paraphrase, no keyword overlap with day care"
Does the policy pay for hospitalisation costs?,Coverage,Covered,2.1,False,Covered,2.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.022071123123168945,3.6208913326263428,3.6317527294158936,3,307,35,124,"Yes, the policy covers medically necessary hospitalisation expenses incurred by the insured person during the policy period.",Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,
Is cosmetic surgery excluded?,Exclusion,Explicitly Excluded,4.1,False,Insufficient Evidence,4.1,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.01770305633544922,2.5793426036834717,2.5937910079956055,3,258,29,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.1) is from an exclusions section, which is not positive evidence of coverage.",
Are routine dental check-ups covered?,Exclusion,Explicitly Excluded,4.2(a),False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.01899576187133789,3.058894634246826,3.0706796646118164,3,283,30,82,The evidence is insufficient to determine if routine dental check-ups are covered.,Validated.,"Coverage-phrased question, correct answer is an exclusion"
Does the policy cover spectacles or contact lenses?,Exclusion,Explicitly Excluded,4.2(b),False,Explicitly Excluded,4.2(b),Verified Evidence,True,True,True,True,True,True,Correct,,0.017918109893798828,2.9458861351013184,2.963416337966919,3,254,35,101,"Yes, spectacles and contact lenses are explicitly excluded from coverage under this insurance policy.",Validated.,
Can I get reimbursed for hearing aids?,Exclusion,Explicitly Excluded,4.2(b),False,Insufficient Evidence,4.2(b),Limited Evidence,True,False,True,True,True,True,Incorrect Abstention,Generation Failure,0.02208566665649414,2.678654432296753,2.6957340240478516,3,282,29,76,The evidence states that hearing aids are explicitly excluded from coverage.,Validated.,
