question,category,expected_status,expected_clause_number,should_abstain,actual_status,actual_clause_number,confidence_label,validation_passed,status_correct,citation_correct,key_facts_ok,retrieval_correct,evidence_selection_correct,classification,failure_stage,retrieval_time_seconds,llm_time_seconds,total_time_seconds,retrieved_chunk_count,prompt_tokens,completion_tokens,answer_char_count,answer_text,reliability_note,notes
Is dental treatment covered?,Coverage,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,False,True,True,True,True,True,Validation Failure,Generation Failure,9.41563105583191,0.0,60.123703479766846,3,,,224,"The local LLM is currently unavailable (The local LLM server did not respond within 60s. The model may be overloaded, the machine may be low on memory, or max_tokens may be set too high for this hardware.). Please try again.",LLM call failed -- see application logs.,Plain framing is genuinely ambiguous without the accident-context qualifier
Is dental treatment fully covered with no conditions?,Exception,Insufficient Evidence,2.3|4.2(c),True,Insufficient Evidence,,Insufficient Evidence,False,True,False,True,True,True,Validation Failure,Generation Failure,0.04430961608886719,0.0,60.24233436584473,3,,,224,"The local LLM is currently unavailable (The local LLM server did not respond within 60s. The model may be overloaded, the machine may be low on memory, or max_tokens may be set too high for this hardware.). Please try again.",LLM call failed -- see application logs.,Coverage clause AND its exclusion both apply -- conflict case
What does the policy cover for day care procedures?,Coverage,Covered,2.2,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.7118675708770752,35.300963163375854,37.37151527404785,3,312.0,41.0,121,The policy covers day care procedures if they require less than 24 hours of hospitalization and are listed in Annexure A.,Validated.,
Will hospital expenses be reimbursed?,Coverage,Covered,2.1,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,True,True,True,Validation Failure,Generation Failure,1.6880035400390625,17.638561725616455,20.02078366279602,3,294.0,36.0,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",evidence_id '[E1]' was not among the evidence supplied to the model.,
Are surgeries requiring less than 24 hours in hospital covered?,Coverage,Covered,2.2,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,True,True,True,Validation Failure,Generation Failure,1.5447804927825928,14.875840902328491,15.421079158782959,3,314.0,35.0,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",evidence_id '[E1]' was not among the evidence supplied to the model.,"Paraphrase, no keyword overlap with day care"
Does the policy pay for hospitalisation costs?,Coverage,Covered,2.1,False,Insufficient Evidence,,Insufficient Evidence,False,False,False,True,True,True,Validation Failure,Generation Failure,0.30931735038757324,8.786470651626587,9.28673505783081,3,307.0,38.0,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",evidence_id '[E1]' was not among the evidence supplied to the model.,
Is cosmetic surgery excluded?,Exclusion,Explicitly Excluded,4.1,False,Insufficient Evidence,4.1,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.8117866516113281,6.900683879852295,6.959168434143066,3,258.0,32.0,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.1) is from an exclusions section, which is not positive evidence of coverage.",
Are routine dental check-ups covered?,Exclusion,Explicitly Excluded,4.2(a),False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,2.9048054218292236,9.482524871826172,9.800458192825317,3,283.0,39.0,151,"The evidence does not provide clear information about routine dental check-ups specifically, only mentioning that routine dental treatment is excluded.",Validated.,"Coverage-phrased question, correct answer is an exclusion"
Does the policy cover spectacles or contact lenses?,Exclusion,Explicitly Excluded,4.2(b),False,Insufficient Evidence,,Insufficient Evidence,False,False,False,True,True,True,Validation Failure,Generation Failure,0.49298977851867676,8.533953428268433,8.83734393119812,3,254.0,34.0,128,"I found relevant policy information, but I couldn't verify the answer reliably. Please review the cited policy section directly.",evidence_id '[E1]' was not among the evidence supplied to the model.,
Can I get reimbursed for hearing aids?,Exclusion,Explicitly Excluded,4.2(b),False,Explicitly Excluded,4.2(b),Verified Evidence,True,True,True,True,True,True,Correct,,0.5390515327453613,7.640147924423218,8.511556148529053,3,282.0,38.0,106,"No, you cannot get reimbursed for hearing aids as they are explicitly excluded under the insurance policy.",Validated.,
