question,category,expected_status,expected_clause_number,should_abstain,actual_status,actual_clause_number,confidence_label,validation_passed,status_correct,citation_correct,key_facts_ok,retrieval_correct,evidence_selection_correct,classification,failure_stage,retrieval_time_seconds,llm_time_seconds,total_time_seconds,retrieved_chunk_count,prompt_tokens,completion_tokens,answer_char_count,answer_text,reliability_note,notes
Is dental treatment covered?,Coverage,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,7.433706521987915,1.6473610401153564,1.6596863269805908,3,281,30,87,The evidence provided does not specify whether dental treatment is covered or excluded.,Validated.,Plain framing is genuinely ambiguous without the accident-context qualifier
Is dental treatment fully covered with no conditions?,Exception,Insufficient Evidence,2.3|4.2(c),True,Not Mentioned,,Insufficient Evidence,True,False,False,True,True,True,Wrong-but-Confident,Guardrail Failure,0.017735958099365234,1.2060229778289795,1.2225918769836426,3,285,19,21,Insufficient Evidence,Validated.,Coverage clause AND its exclusion both apply -- conflict case
What does the policy cover for day care procedures?,Coverage,Covered,2.2,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.01851201057434082,4.231881618499756,4.2500200271606445,3,312,45,148,"Day Care Treatment: Medical treatment and/or surgical procedures listed in Annexure A, requiring less than 24 hours of hospitalisation, are covered.",Validated.,
Will hospital expenses be reimbursed?,Coverage,Covered,2.1,False,Covered,2.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.02014327049255371,3.096106767654419,3.1131484508514404,3,294,35,105,"Yes, hospitalisation expenses incurred by the Insured Person during the Policy Period will be reimbursed.","Note: related exclusion language was also found in Clause 4.3, 4.1 among the retrieved evidence -- review it before relying on this answer.",
Are surgeries requiring less than 24 hours in hospital covered?,Coverage,Covered,2.2,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.014735221862792969,3.442444086074829,3.4577364921569824,3,314,36,105,"Yes, surgeries requiring less than 24 hours in hospital are covered under the Day Care Treatment section.",Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,"Paraphrase, no keyword overlap with day care"
Does the policy pay for hospitalisation costs?,Coverage,Covered,2.1,False,Covered,2.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.01770472526550293,3.2737011909484863,3.288395643234253,3,307,35,124,"Yes, the policy covers medically necessary hospitalisation expenses incurred by the insured person during the policy period.",Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,
Is cosmetic surgery excluded?,Exclusion,Explicitly Excluded,4.1,False,Insufficient Evidence,4.1,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.012383222579956055,2.3138644695281982,2.3274216651916504,3,258,30,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.1) is from an exclusions section, which is not positive evidence of coverage.",
Are routine dental check-ups covered?,Exclusion,Explicitly Excluded,4.2(a),False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.018207788467407227,2.657071828842163,2.6721785068511963,3,283,30,84,The evidence provided does not specify whether routine dental check-ups are covered.,Validated.,"Coverage-phrased question, correct answer is an exclusion"
Does the policy cover spectacles or contact lenses?,Exclusion,Explicitly Excluded,4.2(b),False,Explicitly Excluded,4.2(b),Verified Evidence,True,True,True,True,True,True,Correct,,0.010509729385375977,2.24646258354187,2.2594218254089355,3,254,30,66,"Yes, the policy explicitly excludes spectacles and contact lenses.",Validated.,
Can I get reimbursed for hearing aids?,Exclusion,Explicitly Excluded,4.2(b),False,Insufficient Evidence,4.2(b),Limited Evidence,True,False,True,True,True,True,Incorrect Abstention,Generation Failure,0.020255327224731445,2.474281072616577,2.4863173961639404,3,282,29,76,The evidence states that hearing aids are explicitly excluded from coverage.,Validated.,
