question,category,expected_status,expected_clause_number,should_abstain,actual_status,actual_clause_number,confidence_label,validation_passed,status_correct,citation_correct,key_facts_ok,retrieval_correct,evidence_selection_correct,classification,failure_stage,retrieval_time_seconds,llm_time_seconds,total_time_seconds,retrieved_chunk_count,prompt_tokens,completion_tokens,answer_char_count,answer_text,reliability_note,notes
Is dental treatment covered?,Coverage,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,6.401230335235596,9.027600288391113,9.042616367340088,3,281,43,172,"The evidence provided does not clearly state whether dental treatment is covered or explicitly excluded, only mentioning certain conditions under which it might be covered.",Validated.,Plain framing is genuinely ambiguous without the accident-context qualifier
Is dental treatment fully covered with no conditions?,Exception,Insufficient Evidence,2.3|4.2(c),True,Insufficient Evidence,,Insufficient Evidence,True,True,False,True,True,True,Appropriate Abstention,,0.017084598541259766,5.950454950332642,5.9660820960998535,3,285,54,237,The evidence does not provide a clear answer on whether dental treatment is fully covered with no conditions. It only specifies exclusions for certain types of dental treatments and provides limited coverage under specific circumstances.,Validated.,Coverage clause AND its exclusion both apply -- conflict case
What does the policy cover for day care procedures?,Coverage,Covered,2.2,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.02205824851989746,7.2326507568359375,7.247926473617554,3,312,41,121,The policy covers day care procedures if they require less than 24 hours of hospitalization and are listed in Annexure A.,Validated.,
Will hospital expenses be reimbursed?,Coverage,Covered,2.1,False,Covered,2.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.0204770565032959,5.952779531478882,5.968019247055054,3,294,36,112,"Yes, hospital expenses will be reimbursed as they are covered under the policy for medically necessary expenses.","Note: related exclusion language was also found in Clause 4.3, 4.1 among the retrieved evidence -- review it before relying on this answer.",
Are surgeries requiring less than 24 hours in hospital covered?,Coverage,Covered,2.2,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.024637460708618164,9.212952136993408,9.232232093811035,3,314,35,94,"Yes, surgeries requiring less than 24 hours in hospital are covered according to the evidence.",Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,"Paraphrase, no keyword overlap with day care"
Does the policy pay for hospitalisation costs?,Coverage,Covered,2.1,False,Covered,2.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.01762557029724121,6.381205320358276,6.39447283744812,3,307,38,126,"Yes, the policy covers hospitalisation expenses as long as they are medically necessary and incurred during the Policy Period.",Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,
Is cosmetic surgery excluded?,Exclusion,Explicitly Excluded,4.1,False,Insufficient Evidence,4.1,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.018611907958984375,4.636155605316162,4.650484085083008,3,258,32,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.1) is from an exclusions section, which is not positive evidence of coverage.",
Are routine dental check-ups covered?,Exclusion,Explicitly Excluded,4.2(a),False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.019855976104736328,6.144759178161621,6.15845513343811,3,283,41,159,"The evidence does not provide clear information about routine dental check-ups specifically, only mentioning that other types of dental treatment are excluded.",Validated.,"Coverage-phrased question, correct answer is an exclusion"
Does the policy cover spectacles or contact lenses?,Exclusion,Explicitly Excluded,4.2(b),False,Explicitly Excluded,4.2(b),Verified Evidence,True,True,True,True,True,True,Correct,,0.020555734634399414,4.664150238037109,4.682257890701294,3,254,34,87,The policy explicitly excludes spectacles and contact lenses as stated in the evidence.,Validated.,
Can I get reimbursed for hearing aids?,Exclusion,Explicitly Excluded,4.2(b),False,Explicitly Excluded,4.2(b),Verified Evidence,True,True,True,True,True,True,Correct,,0.01937127113342285,5.424064874649048,5.437565803527832,3,282,38,106,"No, you cannot get reimbursed for hearing aids as they are explicitly excluded under the insurance policy.",Validated.,
